pdb,Hchain,Lchain,model,antigen_chain
5eu7,E,C,0,A
4g7v,H,L,0,S
5ggt,H,L,0,A
1eo8,H,L,0,A
3lzf,H,L,0,A
4ot1,H,L,0,A
1osp,H,L,0,O
1h0d,B,A,0,C
4wht,G,H,0,g
4nx3,B,A,0,D
1egj,H,L,0,A
5kw9,H,L,0,A
5hi4,C,D,0,B
5b3j,E,F,0,C
3hi6,X,Y,0,B
4f37,H,L,0,A
4k3j,H,L,0,B
5w6g,H,L,0,A
1jrh,H,L,0,I
2qqn,H,L,0,A
4dtg,H,L,0,K
4rdq,I,H,0,A
3b9k,D,C,0,F
3ldb,C,B,0,A
2vxt,H,L,0,I
4leo,A,B,0,C
3mlr,H,L,0,P
2nyy,D,C,0,A
4i3s,H,L,0,G
1fsk,C,B,0,A
5wux,A,B,0,F
1ob1,B,A,0,C
3grw,H,L,0,A
4xmp,H,L,0,G
3d85,B,A,0,C
3wih,I,M,0,B
1sy6,H,L,0,A
3sob,H,L,0,B
3vi4,F,E,0,B
5vpg,D,C,0,A
4nzt,H,L,0,M
5ikc,H,L,0,N
5uem,H,L,0,G
5lcv,H,L,0,A | B
4j4p,C,D,0,B
1bgx,H,L,0,T
4ij3,C,B,0,A
3cvh,H,L,0,A | C
4ag4,H,L,0,A
4ki5,E,F,0,M
3ru8,H,L,0,X
3r1g,H,L,0,B
5e8e,B,A,0,H
4xvs,H,L,0,G
3k2u,H,L,0,A
4zso,D,C,0,F
5lxg,H,L,0,A
1lk3,H,L,0,A
2adf,H,L,0,A
4jqi,H,L,0,A | V
5b71,B,A,0,E
4u6v,H,L,0,A
5ggs,A,B,0,Z
4ywg,H,L,0,G
4j6r,H,L,0,G
4xp4,H,L,0,A
5k59,H,L,0,A
2jel,H,L,0,P
5tl5,H,L,0,A
3ks0,H,L,0,B
3nh7,J,N,0,C
3rkd,H,L,0,A
4cni,H,L,0,C
4etq,H,L,0,C
2zch,H,L,0,P
3mj9,H,L,0,A
3q3g,H,F,0,I
4qci,H,L,0,C
4jzj,A,B,0,D
4irz,H,L,0,A
3v6o,C,E,0,A
3iu3,H,L,0,I
1rjl,B,A,0,C
5dfw,H,h,0,A
5te7,H,L,0,G
4hlz,G,H,0,B | A
4cad,K,J,0,L
5gzo,C,D,0,B
5mes,H,L,0,A
5jq6,H,L,0,A
2h9g,B,A,0,R
4k2u,I,M,0,B
5f3b,E,F,0,D
5tih,H,L,0,A
4o58,H,L,0,A
4jr9,H,L,0,A
4h88,H,L,0,A
2r56,I,M,0,B
4lst,H,L,0,G
5j13,C,B,0,A
2xqb,H,L,0,A
3s35,H,L,0,X
4ydj,A,B,0,I
3vg9,C,B,0,A
3u30,C,B,0,A
5fb8,B,A,0,C
1r0a,H,L,0,B
4wfe,G,F,0,B
